j,xj,F(xj),S(xj),|F(xj)-S(xj)|,dF(xj),dS(xj),|dF(xj)-dS(xj)|,ddF(xj),ddS(xj),|ddF(xj)-ddS(xj)|
76,0.15718442229435256,0.007153880504931091,-0.5385293568564691,0.5456832373614001,-9.896066307117255,-7.433752587966332,2.4623137191509237,0.755035780866444,44.929844062457924,44.17480828159148
77,0.1592802145916106,-0.0135830269687092,-0.5540102845741559,0.5404272576054467,-9.89228829337612,-7.338961209389151,2.5533270839869697,2.8502110944739316,45.52890864996634,42.678697555492406
78,0.16137600688886863,-0.03430741568675537,-0.5692912336014957,0.5349838179147404,-9.884120085391313,-7.242914315864003,2.6412057695273097,4.944414204556746,46.12797323744318,41.183559032886436
79,0.16347179918612667,-0.05501008752266343,-0.5843695726399314,0.5293594851172679,-9.871564684878878,-7.145611907390834,2.725952777488044,7.036725105872511,46.727037824966004,39.69031271909349
80,0.1655675914833847,-0.0756818526608214,-0.5992426703909057,0.5235608177300843,-9.854627020897015,-7.047053983969506,2.8075730369275087,9.12622462178771,47.3261024124688,38.199877790681086
81,0.16766338378064272,-0.09631353363374066,-0.6139078955558609,0.5175943619221203,-9.833313947686342,-6.947240545600241,2.886073402086101,11.21199480799811,47.92516699993611,36.713172191938
82,0.16975917607790075,-0.11689596935383931,-0.628362616836241,0.5114666474824017,-9.807634241664603,-6.846171592282965,2.9614626493816383,13.293119355708397,48.52423158745671,35.23111223174831
83,0.1718549683751588,-0.13742001913803747,-0.6426042029334877,0.5051841837954503,-9.777598597577082,-6.7438471240175275,3.0337514735595548,15.36868399409303,49.12329617494817,33.75461218085514
84,0.17395076067241683,-0.15787656672340394,-0.6566300225490443,0.4987534558256404,-9.743219623804492,-6.640267140804202,3.1029524830002906,17.437776891862253,49.72236076243773,32.284583870575474
85,0.17604655296967486,-0.17825652427208785,-0.6704374443843539,0.4921809201122661,-9.704511836830319,-6.535431642642723,3.169080194187596,19.499489057756602,50.321425349977716,30.821936292221114
86,0.1781423452669329,-0.1985508363637764,-0.6840238371408585,0.48547300077708205,-9.66149165487011,-6.429340629533145,3.2321510253369654,21.552914739794048,50.920489937448416,29.367575197654368
87,0.18023813756419094,-0.21875048397392433,-0.6973865695200013,0.478636085546077,-9.61417739066549,-6.3219941014757035,3.2921832891897873,23.59715182309435,51.51955452492547,27.922402701831118
88,0.18233392986144897,-0.23884648843600856,-0.7105230102232255,0.471676521787217,-9.562589243446036,-6.213392058470136,3.3491971849758997,25.6313022261059,52.11861911246546,26.48731688635956
89,0.184429722158707,-0.25882991538606853,-0.7234305279519733,0.46460061256590474,-9.506749290062594,-6.103534500516442,3.4032147895461513,27.654472295061186,52.71768369996137,25.063211404900184
90,0.18652551445596505,-0.27869187868779915,-0.7361064914076876,0.4574146127198884,-9.446681475295891,-5.992421427614807,3.4542600476810845,29.665773196487518,53.3167482874291,23.650975090941582
91,0.18862130675322308,-0.29842354433647067,-0.7485482692918115,0.45012472495534084,-9.382411601344739,-5.880052839765163,3.5023587615795755,31.664321307600485,53.9158128749508,22.251491567350318
92,0.1907170990504811,-0.31801613433996245,-0.7607532303057876,0.4427370959658251,-9.313967316498388,-5.766428736967353,3.547538579531035,33.64923860440878,54.51487746245244,20.86563885804366
93,0.19281289134773913,-0.3374609305752088,-0.7727187431510585,0.43525781257584967,-9.241378102998057,-5.651549119221618,3.5898289837764397,35.619653047360266,55.113942049922564,19.494289002562297
